"","player_name","Pos.","Age","Bats","Throws","From","To","exp_salary_char","exp_salary"
"143","Aaron Brooks","SP","32.5","R","R","STL","TBD","$2,000,000",2e+06
"144","Johan Camargo","3B","28.8",NA,"R","PHI","TBD","$2,000,000",2e+06
"145","Willie Calhoun","DH","28.0","L","R","SF","TBD","$2,000,000",2e+06
"146","Jesse Chavez","RP","39.2","R","R","ATL","TBD","$2,000,000",2e+06
"147","Jose Alvarez","RP","33.5","L","L","SF","TBD","$2,000,000",2e+06
"148","Marwin Gonzalez","3B","33.6",NA,"R","NYY","TBD","$2,000,000",2e+06
"149","Mike Montgomery","RP","33.3","L","L","NYM","TBD","$2,000,000",2e+06
"150","Matt Harvey","SP","33.6","R","R","BAL","TBD","$2,000,000",2e+06
"151","Darren O'Day","RP","40.0","R","R","ATL","TBD","$2,000,000",2e+06
"152","Greg Bird","1B","30.0","L","R","NYY","TBD","$2,000,000",2e+06
"153","Sandy Leon","C","33.6",NA,"R","MIN","TBD","$2,000,000",2e+06
"154","Garrett Richards","SP","34.4","R","R","TEX","TBD","$2,000,000",2e+06
"155","Arodys Vizcaino","RP","31.9","R","R","KC","TBD","$2,000,000",2e+06
"156","Alex Dickerson","LF","32.4","L","L","ATL","TBD","$2,000,000",2e+06
"157","Daniel Coulombe","RP","33.0","L","L","MIN","TBD","$2,000,000",2e+06
"158","Austin Adams","RP","31.5","R","R","SD","TBD","$2,000,000",2e+06
"159","Robinson Chirinos","C","38.4","R","R","BAL","TBD","$2,000,000",2e+06
"160","Tim Locastro","OF","30.2","R","R","NYY","TBD","$2,000,000",2e+06
"161","Tyler Thornburg","RP","34.1","R","R","MIN","TBD","$2,000,000",2e+06
"162","Brandon Drury","3B","30.2","R","R","SD","TBD","$9,391,479",9391479
"163","Matthew Bowman","RP","31.4","R","R","NYY","TBD","$2,000,000",2e+06
"164","Sean Newcomb","RP","29.3","L","L","CHC","TBD","$2,000,000",2e+06
"165","Stephen Vogt","C","38.0","L","R","OAK","TBD","$2,000,000",2e+06
"166","Paul Fry","RP","30.2","L","L","ARI","TBD","$2,000,000",2e+06
"167","Nick Anderson","RP","32.3","R","R","TB","TBD","$2,000,000",2e+06
"168","J.B. Wendelken","RP","29.6","R","R","ARI","TBD","$2,000,000",2e+06
"169","Ryan Goins","2B","34.7","L","R","ATL","TBD","$2,000,000",2e+06
"170","Greg Allen","OF","29.6",NA,"R","PIT","TBD","$2,000,000",2e+06
"171","Drew Hutchison","SP","32.2","L","R","DET","TBD","$2,000,000",2e+06
"172","Josh VanMeter","2B","27.7","L","R","PIT","TBD","$2,000,000",2e+06
"173","Anthony Castro","P","27.5","R","R","BAL","TBD","$2,000,000",2e+06
"174","Michael Hermosillo","CF","27.8","R","R","CHC","TBD","$2,000,000",2e+06
"175","Yermin Mercedes","C","29.7","R","R","SF","TBD","$2,000,000",2e+06
"176","Magneuris Sierra","CF","26.6","L","L","LAA","TBD","$2,000,000",2e+06
"177","Elliot Soto","SS","33.2","R","R","LAD","TBD","$2,000,000",2e+06
"178","Rougned Odor","2B","28.8","L","R","BAL","TBD","$2,000,000",2e+06
"179","Lewis Brinson","CF","28.5","R","R","SF","TBD","$2,000,000",2e+06
"180","Taylor Davis","C","32.9","R","R","PIT","TBD","$2,000,000",2e+06
"181","Shelby Miller","SP","32.1","R","R","SF","TBD","$2,000,000",2e+06
"182","Marcus Wilson","OF","26.2","R","R","SEA","TBD","$2,000,000",2e+06
"183","Dixon Machado","2B","30.7","R","R","SF","TBD","$2,000,000",2e+06
"184","Luiz Ortiz","SP","23.8",NA,NA,"PIT","TBD","$2,000,000",2e+06
"185","R.J. Alvarez","RP","31.4","R","R","NYM","TBD","$2,000,000",2e+06
"186","Jaylin Davis","RF","28.3","R","R","BOS","TBD","$2,000,000",2e+06
"187"," Bradley Jr.Jr.Jackie","CF","32.5","L","R","TOR","TBD","$2,000,000",2e+06
"188","Eduard Bazardo","P","27.2","R","R","BOS","TBD","$2,000,000",2e+06
"189","Jacob Barnes","RP","32.5","R","R","NYY","TBD","$2,000,000",2e+06
"190","Denyi Reyes","SP","26.0","R","R","BAL","TBD","$2,000,000",2e+06
"191","Daniel Mengden","SP","29.7","R","R","KC","TBD","$2,000,000",2e+06
"192","Luis Barrera","CF","26.9","L","L","OAK","TBD","$2,000,000",2e+06
"193","Dusten Knight","P","32.2",NA,NA,"TB","TBD","$2,000,000",2e+06
"194","Austin Romine","C","33.9","R","R","CIN","TBD","$2,000,000",2e+06
"195","Andrew Knapp","C","31.0",NA,"R","SF","TBD","$2,000,000",2e+06
"196","Aneurys Zabala","P","25.8",NA,NA,"MIA","TBD","$2,000,000",2e+06
