Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Aaron Whitefield,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.28,0.347,0.627,0.276,76,,0,0,,0,0,0,,999,19938
Ka'ai Tom,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.209,0.292,0.359,0.651,0.289,86,,0,0,,0,0,0,,999,18136
Guillermo Heredia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.215,0.286,0.344,0.63,0.279,79,,0,0,,0,0,0,,999,18721
Yusniel Diaz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.216,0.289,0.352,0.641,0.284,82,,0,0,,0,0,0,,999,18905
Nick Plummer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.307,0.373,0.68,0.302,95,,0,0,,0,0,0,,999,18690
Max Schrock,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.292,0.359,0.651,0.286,84,,0,0,,0,0,0,,999,17750
Juan Lagares,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.237,0.28,0.36,0.64,0.28,80,,0,0,,0,0,0,,999,5384
Steven Souza Jr.,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.201,0.291,0.348,0.64,0.285,83,,0,0,,0,0,0,,999,5667
Drew Jackson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.197,0.287,0.318,0.605,0.273,74,,0,0,,0,0,0,,999,17807
Cole Tucker,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.21,0.277,0.316,0.593,0.265,69,,0,0,,0,0,0,,999,17326
Stephen Piscotty,,13,53,48,11,2,0,2,5,6,3,15,1,0,0,,0.224,0.281,0.375,0.656,0.287,84,,0,-0.4,,-1,-1.1,0,,999,13367
Kole Calhoun,,71,295,265,55,11,1,10,31,33,23,87,4,2,1,,0.206,0.277,0.367,0.644,0.284,82,,-0.6,-0.2,,-6.5,-3.7,-0.1,,999,11200
