Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Jonathan Villar,,32,136,123,30,5,1,3,15,13,10,34,1,4,1,,0.243,0.303,0.374,0.678,0.298,92,,0.4,-1.6,,-0.8,-0.8,0.3,,999,10071
Yolbert Sanchez,CHW,36,145,133,34,6,0,2,14,13,8,23,1,2,1,,0.255,0.301,0.341,0.642,0.285,83,,-0.1,0,,-2.9,0.7,0.3,,999,sa3011471
Addison Barger,TOR,11,46,42,11,2,0,2,6,6,3,12,0,0,0,,0.252,0.307,0.448,0.755,0.325,113,,0,0,,0.7,0.3,0.3,,999,sa3006910
David Hamilton,BOS,23,92,83,20,4,1,2,10,9,7,20,1,6,2,,0.239,0.305,0.373,0.678,0.298,88,,0.4,0,,-0.9,0.4,0.2,,999,sa3014434
Livan Soto,LAA,21,83,75,18,3,0,1,8,8,7,17,1,1,1,,0.238,0.306,0.341,0.646,0.288,85,,0,0.1,,-1.4,1.1,0.2,,999,22471
Ehire Adrianza,,63,251,223,52,11,1,4,25,22,21,54,3,2,1,,0.232,0.304,0.342,0.646,0.288,85,,-0.2,-2.4,,-4.5,-1.6,0.2,,999,8418
Matt Reynolds,CIN,53,215,189,44,10,1,4,22,20,22,59,2,3,1,,0.233,0.315,0.353,0.668,0.298,84,,-0.3,0.1,,-4.3,-1,0.2,,999,13788
Nick Maton,PHI,21,84,73,16,4,0,2,9,8,8,22,1,1,0,,0.223,0.308,0.365,0.672,0.299,90,,0,0,,-1,-0.2,0.2,,999,21635
Alcides Escobar,,44,184,170,40,8,1,2,18,16,9,38,3,2,1,,0.237,0.283,0.339,0.622,0.275,76,,-0.1,-1.3,,-5.1,0.6,0.2,,999,6310
Braden Shewmake,ATL,13,53,48,12,2,0,1,6,6,3,11,0,1,0,,0.24,0.288,0.382,0.67,0.293,85,,0,0,,-0.9,0.4,0.1,,999,sa3010332
Brad Miller,TEX,76,305,270,60,10,1,11,33,34,29,87,2,4,1,,0.222,0.301,0.391,0.692,0.304,98,,-0.7,-1.9,,-1.5,-7,0.1,,999,12775
Coco Montes,COL,10,39,36,9,2,0,1,5,5,3,10,0,0,0,,0.25,0.309,0.419,0.728,0.317,89,,0,0,,-0.5,0.4,0.1,,999,sa3006715
Pedro Leon,HOU,16,66,57,11,2,0,2,7,6,7,21,1,3,1,,0.2,0.297,0.342,0.639,0.286,86,,0,0,,-1,0.1,0.1,,999,sa3014838
Marwin Gonzalez,,34,137,124,28,5,0,3,14,13,9,34,2,2,1,,0.223,0.284,0.348,0.633,0.28,80,,-0.3,-1.1,,-3.4,0,0.1,,999,5497
Wenceel Perez,DET,6,26,24,6,1,0,1,3,3,2,4,0,1,0,,0.248,0.305,0.389,0.693,0.303,98,,0,0,,-0.1,0.1,0.1,,999,sa3003326
Andrew Velazquez,LAA,18,69,63,13,3,0,2,7,7,4,22,1,3,1,,0.211,0.267,0.34,0.607,0.268,70,,0.2,-0.1,,-2,0.7,0.1,,999,14196
Joey Ortiz,BAL,5,20,18,5,1,0,1,2,2,1,3,0,0,0,,0.255,0.313,0.405,0.718,0.313,104,,0,0,,0.1,0.1,0.1,,999,sa3009889
Xavier Edwards,MIA,6,26,24,6,1,0,0,2,2,2,5,0,1,0,,0.241,0.306,0.33,0.636,0.284,84,,0,0,,-0.5,0.3,0.1,,999,sa3007018
Lucius Fox,WSN,24,97,86,18,4,0,1,9,8,8,25,1,3,1,,0.212,0.287,0.318,0.604,0.27,71,,0.1,-0.2,,-3.2,0.5,0.1,,999,18899
Maikel Garcia,KCR,3,13,12,3,1,0,0,1,1,1,2,0,0,0,,0.25,0.31,0.364,0.674,0.297,90,,0,0,,-0.1,0.1,0,,999,22715
Jed Lowrie,,6,28,25,6,1,0,1,3,3,2,6,0,0,0,,0.234,0.297,0.36,0.657,0.29,87,,-0.1,-0.1,,-0.5,0,0,,999,4418
